in Paris||à Paris|||||
in Wien||à Vienne|||||
das Restaurant||le restaurant|||||
im Restaurant||au restaurant|||||
im Kaffeehaus||au café|||||
jemandem schreiben||écrire à quelqu'un|||||
jemandem antworten||répondre à quelqu'un|||||
zu jemandem sprechen||parler à quelqu'un|||||
jemandem gehören||être à quelqu'un|||||
Das gehört Louis.||C'est à Louis.|||||
Das gehört dem Mädchen.||C'est à la fille.|||||
Das gehört dem Jungen.||C'est au garçon.|||||
Das gehört dem Mann.||C'est à l'homme.|||||
Das gehört den Kindern.||C'est aux enfants.|||||
eine Tomatensuppe||une soupe à la tomate|||||
der Schokoladenkuchen||le gâteau au chocolat|||||
gehen||aller|||||
aller au restaurant||ins Restaurant gehen|||||