ich trinke||je bois|||||
die Tomate||la tomate|||||
das Fleisch||la viande|||||
ich esse das Fleisch||je mange la viande|||||
ich esse Fleisch||je mange de la viande|||||
die Suppe||la soupe|||||
das Brot||le pain|||||
sie trinken||ils boivent|||||
der Reis||le riz|||||
ich esse den Reis||je mange le riz|||||
ich esse Reis||je mange du riz|||||
ein Ei||un œuf|||||
das Wasser||l'eau|||||
ich trinke das Wasser||je bois l'eau|||||
ich trinke Wasser||je bois de l'eau|||||
der Tee||le thé|||||
ich trinke den Tee||je bois le thé|||||
ich trinke Tee||je bois du thé|||||
die Banane||la banane|||||
der Pilz||le champignon|||||
die Mahlzeit||le repas|||||
der Kaffee||le café|||||
der Käse||le fromage|||||
der Wein||le vin|||||
die Milch||le lait|||||
das Bier||la bière|||||
die Crêpe||la crêpe|||||
das Baguette||la baguette|||||
die Erdbeere||la fraise|||||
gut||bon|||||
die Karotte||la carotte|||||
ihr esst||vous mangez|||||
das Bonbon||le bonbon|||||
mit||avec|||||
der Fisch||le poisson|||||
der Zucker||le sucre|||||
die Schokolade||le chocolat|||||
der Saft||le jus|||||
der Pfeffer||le poivre|||||
wir essen||nous mangeons|||||
das Salz||le sel|||||
frisch||frais|||||
das frische Brot||le pain frais|||||
das kühle Bier||la bière fraîche|||||
der Kuchen||le gâteau|||||
das Eis||la glace|||||
die Wurst||le saucisson|||||
süß||sucré|||||
du isst||tu manges|||||
eine Orange||une orange|||||
gut||bonne|||||
süß||sucrée|||||
frisch||fraîche|||||
sie trinken||elles boivent|||||