rot||rouge|||||
schwarz||noir|||||
der grüne Tee||le thé vert|||||
die grüne Tomate||la tomate verte|||||
der gelbe Vogel||l'oiseau jaune|||||
die gelbe Banane||la banane jaune|||||
der blaue Schmetterling||le papillon bleu|||||
der blaue Schal||l'écharpe bleue|||||
le bonnet blanc||die weiße Mütze|||||
la souris blanche||die weiße Maus|||||
die lila Bluse||le chemisier violet|||||
das lila Kleid||la robe violette|||||
braun||le chapeau marron|||||
der braune Gürtel||la ceinture marron|||||
die braunen Schuhe||les chaussures marron|||||
die orangefarbige Tasche||le sac orange|||||
das orangefarbige Hemd||la chemise orange|||||
die orangefarbigen Socken||les chaussettes orange|||||
das rosa Schwein||le cochon rose|||||
die rosa Jacke||la veste rose|||||
oder||ou|||||
die Farbe||la couleur|||||
die graue Hose||le pantalon gris|||||
die graue Maus||la souris grise|||||
bunt||multicolore|||||
Lieblings~||préféré|||||
meine Lieblingsfarbe||ma couleur préférée|||||