die Hunde||les chiens|||||
die Katzen||les chats|||||
groß(sing)||grands|||||
groß(plural)||grandes|||||
die Wörter||les mots|||||
die Äpfel||les pommes|||||
klein(sing)||petits|||||
klein(plural)||petites|||||
jung||jeunes|||||
les lettres||die Briefe|||||
allein(singular)||seuls|||||
allein(plural)||seules|||||
die Schweine||les cochons|||||
gut(singular)||bons|||||
gut(plural)||bonnes|||||
die Enten||les canards|||||
dick(singular)||gros|||||
dick(plural)||grosses|||||
die Erdbeeren||les fraises|||||
die Bücher||les livres|||||
neu||nouvelles|||||
die Rosen||les roses|||||
die Fische||les poissons|||||
die Zitronen||les citrons|||||
die Bananen||les bananes|||||
die Namen||les noms|||||
das Obst||les fruits|||||
die Nudeln||les pâtes|||||
die Baguettes||les baguettes|||||
die Bohnen||les haricots|||||
die Crêpes||les crêpes|||||
die Pommes||les frites|||||
das Gemüse||les légumes|||||